127.0.0.1 - - [18/Jan/2017:21:02:14 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:40 +0530] "GET /Collabfrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:41 +0530] "GET /Collabfrontend/css/indexnav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:41 +0530] "GET /Collabfrontend/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:41 +0530] "GET /Collabfrontend/css/indexstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:43 +0530] "GET /Collabfrontend/blog/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:43 +0530] "GET /Collabfrontend/forum/forumcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:43 +0530] "GET /Collabfrontend/blog/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:43 +0530] "GET /Collabfrontend/app/services.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:43 +0530] "GET /Collabfrontend/app/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:43 +0530] "GET /Collabfrontend/forum/forumservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:43 +0530] "GET /Collabfrontend/user/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:43 +0530] "GET /Collabfrontend/user/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:45 +0530] "GET /Collabfrontend/js/app.js HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:49 +0530] "GET /Collabfrontend/user/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:49 +0530] "GET /Collabfrontend/css/indexnav.css'/%3E HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:49 +0530] "GET /Collabfrontend/css/bootstrap.css'/%3E HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:49 +0530] "GET /Collabfrontend/css/indexstyle.css'/%3E HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:02:51 +0530] "GET /Collabbackend/allUsers HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:01 +0530] "POST /Collabbackend/login HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:01 +0530] "GET /Collabfrontend/home/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:03 +0530] "GET /Collabfrontend/forum/forum.html HTTP/1.1" 200 3665
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:03 +0530] "GET /Collabbackend/allForums HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:05 +0530] "GET /Collabfrontend/forum/allForums.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:07 +0530] "GET /Collabbackend/allFor HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:07 +0530] "GET /Collabfrontend/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:07 +0530] "GET /Collabbackend/allFor HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:10 +0530] "GET /Collabfrontend/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:10 +0530] "GET /Collabfrontend/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:10 +0530] "GET /Collabfrontend/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:10 +0530] "GET /Collabfrontend/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:10 +0530] "GET /Collabfrontend/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:10 +0530] "GET /Collabbackend/allForums HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:12 +0530] "GET /Collabfrontend/blog/allBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:12 +0530] "GET /Collabfrontend/css/font-awesome.min.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:12 +0530] "GET /Collabfrontend/css/trend.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [18/Jan/2017:21:03:12 +0530] "GET /Collabfrontend/css/info.css HTTP/1.1" 404 1048
